winery,wine_name,year,price,score,country,wine_type,pairing,picture,price_quality,Estilo de vino,Contenido de alcohol,country_España,country_Francia,country_Italia,country_Other,flavour_cítrico,flavour_especias,flavour_floral,flavour_fruta negra,flavour_fruta seca,flavour_frutos de árbol,flavour_frutos rojos,flavour_microbio,flavour_roble,flavour_terroso,flavour_tropical,flavour_vegetal
Quinta de Catralvos,Alicante Bouschet - Syrah,2021,14.95,4.5,Portugal,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/AwtSRa2ZSSWJE1AoViXACA_pb_x600.png,6,Sur Portugal Tinto,14.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Quinta do Ermizio,Vinha do Cuco,2023,16.95,4.5,Portugal,1,"Marisco, Aperitivos y tentempiés, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/M2tFNe1GQQaqrU_wn-qnMQ_pb_x600.png,6,Norte Portugal Blanco,12.5,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Sociedade Vinicola de Palmela,Personalizado,2022,17.95,4.5,Portugal,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/UgUGQSbaTSGQMHMk6zjArQ_pb_x600.png,6,Sur Portugal Tinto,13.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
San Marzano,60 Sessantanni Old Vines Primitivo di Manduria,2018,21.95,4.4,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/tLtS1VwaRxCL25zZ-j6pZg_pb_x600.png,4,Primitivo (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Puglia Pop,Fico Susumaniello,2022,19.95,4.4,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/XAKEoj1sR5SllZQ-x5NxCQ_pb_x600.png,4,Sur Italia Tinto,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cignomoro,6 Anime Puglia Rosso,2022,21.95,4.4,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/TvHyS486TBmAaVIPmuvVzA_pb_x600.png,5,Sur Italia Tinto,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cignomoro,80 Vecchie Vigne Primitivo di Manduria Old Vines,2022,27.95,4.4,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/MQiRYwt5TbmKz4BsNki-5A_pb_x600.png,4,Primitivo (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Matarromera,Ribera del Duero Prestigio,2019,59.9,4.4,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/jqaoLfPrRlGIyc-pEbtcGQ_pb_x600.png,4,Ribera del Duero Tinto (España),15.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
La Rioja Alta,Viña Arana Gran Reserva,2016,31.9,4.4,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/Mjc-2YuNSP68Im0TXCWaLA_pb_x600.png,5,Rioja Tinto (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Belondrade,Belondrade y Lurton,2022,44.95,4.4,España,1,"Cerdo, Marisco, Vegetariana, Carne adobada",//images.vivino.com/thumbs/iugnGRAySDWnX7i_bfnP4A_pb_x600.png,4,Verdejo (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Vilano,Vilano,2021,37.5,4.4,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/V0fOFhRNTtm3J1WlVWWaew_pb_x600.png,4,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cascina Chicco,Barolo Riserva Ginestra,2017,54.95,4.3,Italia,2,"Ternera, Cordero, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/2aYoRv6TTqmb_cAF5S7t1A_pb_x600.png,5,Barolo (Italia),15.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Taaibosch Estate,Crescendo,2019,26.95,4.3,Sudáfrica,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/Sbyr_QGtThWxTTzkWKTGRQ_pb_x600.png,4,Sudáfrica Bordeaux Blend,13.5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Casal da Coelheira,Tinto,2021,13.95,4.3,Portugal,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/_5l1PDywSHS4dedzo_-1SQ_pb_x600.png,5,Central Portugal Red,14.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Château Haut-Marbuzet,Saint-Estèphe,2017,49.95,4.3,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/gbS3MXGxTSe2CSad0bcueQ_pb_x600.png,5,Burdeos Saint- Estèphe (Francia),13.5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Sasso di Sole,Brunello di Montalcino,2019,28.95,4.3,Italia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/omKOGm2hSmSjG5CQ_k9SGg_pb_x600.png,4,Brunello (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Antiche Terre Venete,Amarone Della Valpolicella Baorna,2021,22.95,4.3,Italia,2,"Ternera, Cordero, Ciervo, Carne de venado, Queso azul",//images.vivino.com/thumbs/6Uj2n30zRE64GS7jlaUloQ_pb_x600.png,4,Amarone (Italia),15.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Abadía Retuerta,Selección Especial,2020,29.95,4.3,España,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/oNVVam6PQoS5a4UxL_xZRg_pb_x600.png,5,Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Varvaglione,Cosimo Varvaglione Collezione Privata Primitivo di Manduria,2020,22.95,4.3,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/yftCiWh2SgOIn_mvKZaARg_pb_x600.png,3,Primitivo (Italia),15.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
San Marzano,62 Anniversario Primitivo di Manduria Riserva,2019,22.95,4.3,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/5fdHiGBzSgGOgY_9A8WFOw_pb_x600.png,3,Primitivo (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cantine Luciani,Brunello di Montalcino,2019,27.95,4.3,Italia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/Uz7grLTAQc-BVEhKY0yO3g_pb_x600.png,4,Brunello (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
